,name,position,age,market_value,country_from,league_from,club_from,country_to,league_to,club_to,fee,year,General_Position
2182,Paulinho,Central Midfield,32,,China,Others,Guangzhou FC,Saudi Arabia,Others,Al-Ahli Saudi FC,0,2021,Midfield
2183,Ben Gibson,Centre-Back,28,,England,Premier League,Burnley FC,England,Premier League,Norwich City,9000000,2021,Defense
2184,Pol Lirola,Right-Back,24,,Italy,Serie A,ACF Fiorentina,France,Ligue 1,Olympique Marseille,13000000,2021,Defense
2185,Kamal Sowah,Right Winger,21,,England,Others,Leicester City U21,Belgium,Others,Club Brugge KV,9000000,2021,Attack
2186,Yacine Adli,Attacking Midfield,21,,France,Ligue 1,FC Girondins Bordeaux,Italy,Serie A,AC Milan,8000000,2021,Midfield
2187,Ante Budimir,Centre-Forward,29,,Spain,LaLiga,RCD Mallorca,Spain,LaLiga,CA Osasuna,8000000,2021,Attack
2188,Suat Serdar,Central Midfield,24,,Germany,Others,FC Schalke 04,Germany,Bundesliga,Hertha BSC,8000000,2021,Midfield
2189,Toma Basic,Central Midfield,24,,France,Ligue 1,FC Girondins Bordeaux,Italy,Serie A,SS Lazio,7000000,2021,Midfield
2190,Fábio Martins,Left Winger,28,,Portugal,Others,SC Braga,United Arab Emirates,Others,Al-Wahda FC Abu Dhabi,3000000,2021,Attack
2191,Marco Silvestri,Goalkeeper,30,,Italy,Serie A,Hellas Verona,Italy,Serie A,Udinese Calcio,2000000,2021,Goalkeeper
2192,Marcos Paulo,Left Winger,20,,Brazil,Others,Fluminense Football Club,Spain,LaLiga,Atlético de Madrid,0,2021,Attack
2193,Patrick Cutrone,Centre-Forward,23,,England,Premier League,Wolverhampton Wanderers,Italy,Serie A,FC Empoli,0,2021,Attack
2194,Marcos Paulo,Left Winger,20,,Spain,LaLiga,Atlético de Madrid,Portugal,Others,FC Famalicão,0,2021,Attack
2195,Loren Morón,Centre-Forward,27,,Spain,LaLiga,Real Betis Balompié,Spain,LaLiga,RCD Espanyol Barcelona,0,2021,Attack
2196,Willian,Left Winger,33,,England,Premier League,Arsenal FC,Brazil,Others,Sport Club Corinthians Paulista,0,2021,Attack
2197,Reiss Nelson,Right Winger,21,,England,Premier League,Arsenal FC,Netherlands,Others,Feyenoord Rotterdam,0,2021,Attack
2198,Yacine Adli,Attacking Midfield,21,,Italy,Serie A,AC Milan,France,Ligue 1,FC Girondins Bordeaux,0,2021,Midfield
2199,Javairô Dilrosun,Left Winger,23,,Germany,Bundesliga,Hertha BSC,France,Ligue 1,FC Girondins Bordeaux,0,2021,Attack
2200,Orbelín Pineda,Central Midfield,25,,Mexico,Others,CD Cruz Azul,Spain,LaLiga,Celta de Vigo,0,2021,Midfield
2201,Viktor Claesson,Left Winger,30,,Russia,Others,FK Krasnodar,Denmark,Others,FC Copenhagen,0,2021,Attack
2202,Renan,Centre-Back,19,,Brazil,Others,Sociedade Esportiva Palmeiras,Brazil,Others,Red Bull Bragantino,0,2021,Defense
2203,Taiwo Awoniyi,Centre-Forward,23,,England,Premier League,Liverpool FC,Germany,Bundesliga,1.FC Union Berlin,8000000,2021,Attack
2204,Marcos André,Centre-Forward,24,,Spain,Others,Real Valladolid CF,Spain,LaLiga,Valencia CF,8000000,2021,Attack
2205,Tajon Buchanan,Right Winger,22,,United States,Others,New England Revolution,Belgium,Others,Club Brugge KV,6000000,2021,Attack
2206,Aaron Boupendza,Centre-Forward,25,,Turkey,Others,Hatayspor,Qatar,Others,Al-Arabi SC,4000000,2021,Attack
2207,Christian Kouamé,Centre-Forward,23,,Italy,Serie A,ACF Fiorentina,Belgium,Others,RSC Anderlecht,1000000,2021,Attack
2208,Fedor Chalov,Centre-Forward,23,,Russia,Others,CSKA Moscow,Switzerland,Others,FC Basel 1893,300000,2021,Attack
2209,Marin Pongracic,Centre-Back,23,,Germany,Bundesliga,VfL Wolfsburg,Germany,Bundesliga,Borussia Dortmund,0,2021,Defense
2210,Eddie Salcedo,Centre-Forward,19,,Italy,Serie A,Inter Milan,Italy,Serie A,Genoa CFC,0,2021,Attack
2211,Jérôme Boateng,Centre-Back,32,,Germany,Bundesliga,Bayern Munich,France,Ligue 1,Olympique Lyon,0,2021,Defense
2212,Erick Pulgar,Defensive Midfield,28,,Italy,Serie A,ACF Fiorentina,Turkey,Others,Galatasaray,0,2021,Midfield
2213,Andreas Cornelius,Centre-Forward,28,,Italy,Serie A,Atalanta BC,Italy,Others,Parma Calcio 1913,8000000,2021,Attack
2214,Aster Vranckx,Central Midfield,18,,Belgium,Others,KV Mechelen,Germany,Bundesliga,VfL Wolfsburg,8000000,2021,Midfield
2215,Nuno Tavares,Left-Back,21,,Portugal,Others,SL Benfica,England,Premier League,Arsenal FC,8000000,2021,Defense
2216,José Sá,Goalkeeper,28,,Greece,Others,Olympiacos Piraeus,England,Premier League,Wolverhampton Wanderers,8000000,2021,Goalkeeper
2217,Matteo Lovato,Centre-Back,21,,Italy,Serie A,Hellas Verona,Italy,Serie A,Atalanta BC,8000000,2021,Defense
2218,Rodrigo Muniz,Centre-Forward,20,,Brazil,Others,CR Flamengo,England,Others,Fulham FC,8000000,2021,Attack
2219,Shamar Nicholson,Centre-Forward,24,,Belgium,Others,RSC Charleroi,Russia,Others,Spartak Moscow,8000000,2021,Attack
2220,Júnior Alonso,Centre-Back,28,,Brazil,Others,Clube Atlético Mineiro,Russia,Others,FK Krasnodar,8000000,2021,Defense
2221,Ivan Ilić,Central Midfield,20,,England,Others,Manchester City U23,Italy,Serie A,Hellas Verona,7000000,2021,Midfield
2222,Niklas Dorsch,Defensive Midfield,23,,Belgium,Others,KAA Gent,Germany,Bundesliga,FC Augsburg,7000000,2021,Midfield
2223,Xherdan Shaqiri,Attacking Midfield,30,,France,Ligue 1,Olympique Lyon,United States,Others,Chicago Fire FC,7000000,2021,Midfield
2224,Piero Hincapié,Centre-Back,19,,Argentina,Others,Club Atlético Talleres,Germany,Bundesliga,Bayer 04 Leverkusen,6000000,2021,Defense
2225,Davide Zappacosta,Right-Back,29,,England,Premier League,Chelsea FC,Italy,Serie A,Atalanta BC,6000000,2021,Defense
2226,Jonathan Rodríguez,Centre-Forward,28,,Mexico,Others,CD Cruz Azul,Saudi Arabia,Others,Al-Nassr FC,5000000,2021,Attack
2227,Gaël Kakuta,Attacking Midfield,30,,France,Others,Amiens SC,France,Ligue 1,RC Lens,5000000,2021,Midfield
2228,Florian Müller,Goalkeeper,23,,Germany,Bundesliga,1.FSV Mainz 05,Germany,Bundesliga,VfB Stuttgart,5000000,2021,Goalkeeper
2229,Esteban Andrada,Goalkeeper,30,,Argentina,Others,CA Boca Juniors,Mexico,Others,CF Monterrey,5000000,2021,Goalkeeper
2230,Pablo,Centre-Back,30,,Russia,Others,Lokomotiv Moscow,Brazil,Others,CR Flamengo,2000000,2021,Defense
2231,Jefferson Savarino,Right Winger,25,,Brazil,Others,Clube Atlético Mineiro,United States,Others,Real Salt Lake City,2000000,2021,Attack
2232,Demarai Gray,Left Winger,25,,Germany,Bundesliga,Bayer 04 Leverkusen,England,Premier League,Everton FC,2000000,2021,Attack
2233,Andreas Pereira,Attacking Midfield,25,,England,Premier League,Manchester United,Brazil,Others,CR Flamengo,1000000,2021,Midfield
2234,Adolfo Gaich,Centre-Forward,22,,Russia,Others,CSKA Moscow,Spain,Others,SD Huesca,600000,2021,Attack
2235,Axel Tuanzebe,Centre-Back,24,,England,Premier League,Manchester United,Italy,Serie A,SSC Napoli,600000,2021,Defense
2236,Yusuf Demir,Right Winger,18,,Austria,Bundesliga,Rapid Vienna,Spain,LaLiga,FC Barcelona,500000,2021,Attack
2237,Simy,Centre-Forward,29,,Italy,Others,FC Crotone,Italy,Serie A,US Salernitana 1919,500000,2021,Attack
2238,Wanderson,Left Winger,27,,Russia,Others,FK Krasnodar,Brazil,Others,Sport Club Internacional,250000,2021,Attack
2239,Ryan Bertrand,Left-Back,31,,England,Premier League,Southampton FC,England,Premier League,Leicester City,0,2021,Defense
2240,Aïssa Mandi,Centre-Back,29,,Spain,LaLiga,Real Betis Balompié,Spain,LaLiga,Villarreal CF,0,2021,Defense
2241,Davy Pröpper,Central Midfield,29,,England,Premier League,Brighton & Hove Albion,Netherlands,Others,PSV Eindhoven,0,2021,Midfield
2242,Marko Dmitrović,Goalkeeper,29,,Spain,Others,SD Eibar,Spain,LaLiga,Sevilla FC,0,2021,Goalkeeper
2243,Joshua King,Centre-Forward,29,,England,Premier League,Everton FC,England,Premier League,Watford FC,0,2021,Attack
2244,Joshua Zirkzee,Centre-Forward,20,,Germany,Bundesliga,Bayern Munich,Belgium,Others,RSC Anderlecht,0,2021,Attack
2245,Axel Tuanzebe,Centre-Back,23,,England,Premier League,Manchester United,England,Premier League,Aston Villa,0,2021,Defense
2246,Manu Sánchez,Left-Back,20,,Spain,LaLiga,Atlético de Madrid,Spain,LaLiga,CA Osasuna,0,2021,Defense
2247,Keita Baldé,Centre-Forward,26,,Monaco,Ligue 1,AS Monaco,Italy,Serie A,Cagliari Calcio,0,2021,Attack
2248,Steven Nzonzi,Defensive Midfield,32,,Italy,Serie A,AS Roma,Qatar,Others,Al-Rayyan SC,0,2021,Midfield
2249,Stefano Sensi,Central Midfield,26,,Italy,Serie A,Inter Milan,Italy,Serie A,UC Sampdoria,0,2021,Midfield
2250,Lys Mousset,Centre-Forward,25,,England,Others,Sheffield United,Italy,Serie A,US Salernitana 1919,0,2021,Attack
2251,Nathaniel Phillips,Centre-Back,24,,England,Premier League,Liverpool FC,England,Others,AFC Bournemouth,0,2021,Defense
2252,Neco Williams,Right-Back,20,,England,Premier League,Liverpool FC,England,Others,Fulham FC,0,2021,Defense
2253,Gedson Fernandes,Central Midfield,23,,Portugal,Others,SL Benfica,Turkey,Others,Caykur Rizespor,0,2021,Midfield
2254,Pizzi,Attacking Midfield,32,,Portugal,Others,SL Benfica,Turkey,Others,Basaksehir FK,0,2021,Midfield
2255,Strahinja Pavlovic,Centre-Back,20,,Monaco,Ligue 1,AS Monaco,Switzerland,Others,FC Basel 1893,0,2021,Defense
2256,Rémy Cabella,Attacking Midfield,32,,Russia,Others,FK Krasnodar,France,Ligue 1,Montpellier HSC,0,2021,Midfield
2257,Michael,Left Winger,25,,Brazil,Others,CR Flamengo,Saudi Arabia,Others,Al-Hilal Saudi FC,7000000,2021,Attack
2258,Dimitrios Giannoulis,Left-Back,25,,Greece,Others,PAOK Thessaloniki,England,Premier League,Norwich City,7000000,2021,Defense
2259,Maximilian Philipp,Second Striker,27,,Russia,Others,Dynamo Moscow,Germany,Bundesliga,VfL Wolfsburg,7000000,2021,Attack
2260,Denis Makarov,Right Midfield,23,,Russia,Others,Rubin Kazan,Russia,Others,Dynamo Moscow,7000000,2021,Midfield
2261,Lyanco,Centre-Back,24,,Italy,Serie A,Torino FC,England,Premier League,Southampton FC,7000000,2021,Defense
2262,Amine Adli,Right Winger,21,,France,Others,FC Toulouse,Germany,Bundesliga,Bayer 04 Leverkusen,7000000,2021,Attack
2263,Erik Botheim,Centre-Forward,21,,Norway,Others,FK Bodø/Glimt,Russia,Others,FK Krasnodar,7000000,2021,Attack
2264,Sebastián Driussi,Attacking Midfield,25,,Russia,Others,Zenit St. Petersburg,United States,Others,Austin FC,6000000,2021,Midfield
2265,David Zima,Centre-Back,20,,Czech Republic,Others,SK Slavia Prague,Italy,Serie A,Torino FC,5000000,2021,Defense
2266,Maximilian Eggestein,Central Midfield,24,,Germany,Others,SV Werder Bremen,Germany,Bundesliga,SC Freiburg,5000000,2021,Midfield
2267,Germán Pezzella,Centre-Back,30,,Italy,Serie A,ACF Fiorentina,Spain,LaLiga,Real Betis Balompié,3000000,2021,Defense
2268,Tonny Vilhena,Central Midfield,27,,Russia,Others,FK Krasnodar,Spain,LaLiga,RCD Espanyol Barcelona,500000,2021,Midfield
2269,Valentin Rosier,Right-Back,24,,Portugal,Others,Sporting CP,Turkey,Others,Besiktas JK,300000,2021,Defense
2270,Brian Brobbey,Centre-Forward,19,,Netherlands,Others,Ajax Amsterdam U21,Germany,Bundesliga,RB Leipzig,0,2021,Attack
2271,Yairo Moreno,Left-Back,26,,Mexico,Others,Club León FC,Mexico,Others,CF Pachuca,0,2021,Defense
2272,Robin Quaison,Centre-Forward,27,,Germany,Bundesliga,1.FSV Mainz 05,Saudi Arabia,Others,Ettifaq FC,0,2021,Attack
2273,Matías Pellegrini,Left Winger,21,,United States,Others,Inter Miami CF,Argentina,Others,Club Estudiantes de La Plata,0,2021,Attack
2274,Róger Guedes,Left Winger,24,,China,Others,Shandong Taishan,Brazil,Others,Sport Club Corinthians Paulista,0,2021,Attack
2275,Chris Richards,Centre-Back,21,,Germany,Bundesliga,Bayern Munich,Germany,Bundesliga,TSG 1899 Hoffenheim,0,2021,Defense
2276,Brian Brobbey,Centre-Forward,19,,Germany,Bundesliga,RB Leipzig,Netherlands,Others,Ajax Amsterdam,0,2021,Attack
2277,Marco Richter,Right Winger,23,,Germany,Bundesliga,FC Augsburg,Germany,Bundesliga,Hertha BSC,7000000,2021,Attack
2278,Jesper Lindström,Attacking Midfield,21,,Denmark,Others,Bröndby IF,Germany,Bundesliga,Eintracht Frankfurt,7000000,2021,Midfield
2279,Victor Nelsson,Centre-Back,22,,Denmark,Others,FC Copenhagen,Turkey,Others,Galatasaray,7000000,2021,Defense
2280,Will Hughes,Central Midfield,26,,England,Premier League,Watford FC,England,Premier League,Crystal Palace,7000000,2021,Midfield
2281,Anders Dreyer,Right Winger,23,,Denmark,Others,FC Midtjylland,Russia,Others,Rubin Kazan,7000000,2021,Attack
2282,Gyrano Kerk,Right Winger,25,,Netherlands,Others,FC Utrecht,Russia,Others,Lokomotiv Moscow,7000000,2021,Attack
2283,Konstantin Maradishvili,Defensive Midfield,21,,Russia,Others,CSKA Moscow,Russia,Others,Lokomotiv Moscow,7000000,2021,Midfield
2284,Mert Cetin,Centre-Back,24,,Italy,Serie A,AS Roma,Italy,Serie A,Hellas Verona,7000000,2021,Defense
2285,Jesús Angulo,Left-Back,23,,Mexico,Others,Atlas Guadalajara,Mexico,Others,Tigres UANL,7000000,2021,Defense
2286,Edon Zhegrova,Right Winger,22,,Switzerland,Others,FC Basel 1893,France,Ligue 1,LOSC Lille,7000000,2021,Attack
2287,Billal Brahimi,Left Winger,21,,France,Ligue 1,Angers SCO,France,Ligue 1,OGC Nice,7000000,2021,Attack
2288,Deniz Undav,Centre-Forward,25,,Belgium,Others,Royale Union Saint Gilloise,England,Premier League,Brighton & Hove Albion,7000000,2021,Attack
2289,Ismail Jakobs,Left-Back,21,,Germany,Bundesliga,1. FC Köln,Monaco,Ligue 1,AS Monaco,6000000,2021,Defense
2290,Robert Andrich,Defensive Midfield,26,,Germany,Bundesliga,1.FC Union Berlin,Germany,Bundesliga,Bayer 04 Leverkusen,6000000,2021,Midfield
2291,Joey Veerman,Central Midfield,23,,Netherlands,Others,SC Heerenveen,Netherlands,Others,PSV Eindhoven,6000000,2021,Midfield
2292,Kevin Bonifazi,Centre-Back,25,,Italy,Others,SPAL,Italy,Serie A,Bologna FC 1909,5000000,2021,Defense
2293,Matías Arezo,Centre-Forward,19,,Uruguay,Others,CA River Plate Montevideo,Spain,LaLiga,Granada CF,5000000,2021,Attack
2294,Sebastián Córdova,Attacking Midfield,24,,Mexico,Others,CF América,Mexico,Others,Tigres UANL,5000000,2021,Midfield
2295,Henry Onyekuru,Left Winger,24,,Monaco,Ligue 1,AS Monaco,Greece,Others,Olympiacos Piraeus,4000000,2021,Attack
2296,Hugo Siquet,Right-Back,19,,Belgium,Others,Standard Liège,Germany,Bundesliga,SC Freiburg,4000000,2021,Defense
2297,Myziane Maolida,Left Winger,22,,France,Ligue 1,OGC Nice,Germany,Bundesliga,Hertha BSC,4000000,2021,Attack
2298,Nicolae Stanciu,Attacking Midfield,28,,Czech Republic,Others,SK Slavia Prague,China,Others,Wuhan Three Towns,4000000,2021,Midfield
2299,Pierre Lees-Melou,Defensive Midfield,28,,France,Ligue 1,OGC Nice,England,Premier League,Norwich City,3000000,2021,Midfield
2300,Matteo Darmian,Right-Back,31,,Italy,Others,Parma Calcio 1913,Italy,Serie A,Inter Milan,3000000,2021,Defense
2301,Gabriele Zappa,Right-Back,21,,Italy,Others,Delfino Pescara 1936,Italy,Serie A,Cagliari Calcio,3000000,2021,Defense
2302,Ryan Christie,Attacking Midfield,26,,Scotland,Others,Celtic FC,England,Others,AFC Bournemouth,2000000,2021,Midfield
2303,Brandon Soppy,Right-Back,19,,France,Ligue 1,Stade Rennais FC,Italy,Serie A,Udinese Calcio,2000000,2021,Defense
2304,Alan Patrick,Attacking Midfield,30,,Ukraine,Others,Shakhtar Donetsk,Brazil,Others,Sport Club Internacional,2000000,2021,Midfield
2305,Caleb Ekuban,Centre-Forward,27,,Turkey,Others,Trabzonspor,Italy,Serie A,Genoa CFC,1000000,2021,Attack
2306,Matteo Lovato,Centre-Back,21,,Italy,Serie A,Atalanta BC,Italy,Serie A,Cagliari Calcio,1000000,2021,Defense
2307,Anel Ahmedhodzic,Centre-Back,22,,Sweden,Others,Malmö FF,France,Ligue 1,FC Girondins Bordeaux,1000000,2021,Defense
2308,Arne Maier,Central Midfield,22,,Germany,Bundesliga,Hertha BSC,Germany,Bundesliga,FC Augsburg,500000,2021,Midfield
2309,Alexandru Mitrita,Left Winger,26,,United States,Others,New York City FC,Greece,Others,PAOK Thessaloniki,500000,2021,Attack
2310,Marc Oliver Kempf,Centre-Back,26,,Germany,Bundesliga,VfB Stuttgart,Germany,Bundesliga,Hertha BSC,500000,2021,Defense
2311,Jean-Pierre Nsame,Centre-Forward,28,,Switzerland,Others,BSC Young Boys,Italy,Serie A,Venezia FC,500000,2021,Attack
2312,Jovane,Left Winger,23,,Portugal,Others,Sporting CP,Italy,Serie A,SS Lazio,300000,2021,Attack
2313,Fedor Smolov,Centre-Forward,31,,Russia,Others,Lokomotiv Moscow,Russia,Others,Dynamo Moscow,120000,2021,Attack
2314,Gustavo Assunção,Defensive Midfield,21,,Portugal,Others,FC Famalicão,Turkey,Others,Galatasaray,100000,2021,Midfield
2315,Omar Richards,Left-Back,23,,England,Others,Reading FC,Germany,Bundesliga,Bayern Munich,0,2021,Defense
2316,Juan Miranda,Left-Back,21,,Spain,LaLiga,FC Barcelona,Spain,LaLiga,Real Betis Balompié,0,2021,Defense
2317,Andros Townsend,Right Winger,30,,England,Premier League,Crystal Palace,England,Premier League,Everton FC,0,2021,Attack
2318,Patrick van Aanholt,Left-Back,30,,England,Premier League,Crystal Palace,Turkey,Others,Galatasaray,0,2021,Defense
2319,Alex Mowatt,Central Midfield,26,,England,Others,Barnsley FC,England,Others,West Bromwich Albion,0,2021,Midfield
2320,John Lundstram,Central Midfield,27,,England,Others,Sheffield United,Scotland,Others,Rangers FC,0,2021,Midfield
2321,Rony Lopes,Right Winger,25,,Spain,LaLiga,Sevilla FC,Greece,Others,Olympiacos Piraeus,0,2021,Attack
2322,Darío Benedetto,Centre-Forward,31,,France,Ligue 1,Olympique Marseille,Spain,LaLiga,Elche CF,0,2021,Attack
2323,Morgan Gibbs-White,Attacking Midfield,21,,England,Premier League,Wolverhampton Wanderers,England,Others,Sheffield United,0,2021,Midfield
2324,Jeison Murillo,Centre-Back,29,,Italy,Serie A,UC Sampdoria,Spain,LaLiga,Celta de Vigo,0,2021,Defense
2325,Roberto Alvarado,Right Winger,23,,Mexico,Others,CD Cruz Azul,Mexico,Others,Deportivo Guadalajara,0,2021,Attack
2326,Aaron Connolly,Centre-Forward,21,,England,Premier League,Brighton & Hove Albion,England,Others,Middlesbrough FC,0,2021,Attack
2327,Jordan Amavi,Left-Back,27,,France,Ligue 1,Olympique Marseille,France,Ligue 1,OGC Nice,0,2021,Defense
2328,Oussama Idrissi,Left Winger,25,,Spain,LaLiga,Sevilla FC,Spain,LaLiga,Cádiz CF,0,2021,Attack
2329,Luis Abram,Centre-Back,25,,Spain,LaLiga,Granada CF,Mexico,Others,CD Cruz Azul,0,2021,Defense
2330,Yeferson Soteldo,Left Winger,24,,Canada,Others,Toronto FC,Mexico,Others,Tigres UANL,0,2021,Attack
2331,Jeff Hendrick,Central Midfield,30,,England,Premier League,Newcastle United,England,Others,Queens Park Rangers,0,2021,Midfield
2332,Júnior Alonso,Centre-Back,29,,Russia,Others,FK Krasnodar,Brazil,Others,Clube Atlético Mineiro,0,2021,Defense
2333,Anders Dreyer,Right Winger,23,,Russia,Others,Rubin Kazan,Denmark,Others,FC Midtjylland,0,2021,Attack
2334,Facundo Torres,Right Winger,21,,Uruguay,Others,CA Peñarol,United States,Others,Orlando City SC,6000000,2021,Attack
2335,Luis Abram,Centre-Back,25,,Argentina,Others,CA Vélez Sarsfield,Spain,LaLiga,Granada CF,0,2021,Defense
2336,Bryan Reynolds,Right-Back,20,,United States,Others,FC Dallas,Italy,Serie A,AS Roma,6000000,2021,Defense
2337,Martín Payero,Central Midfield,22,,Argentina,Others,CA Banfield,England,Others,Middlesbrough FC,6000000,2021,Midfield
2338,Kevin Paredes,Left Midfield,18,,United States,Others,D.C. United,Germany,Bundesliga,VfL Wolfsburg,6000000,2021,Midfield
2339,Sead Haksabanovic,Left Winger,22,,Sweden,Others,IFK Norrköping,Russia,Others,Rubin Kazan,6000000,2021,Attack
2340,Alexandru Cicaldau,Central Midfield,24,,Romania,Others,Universitatea Craiova,Turkey,Others,Galatasaray,6000000,2021,Midfield
2341,Stanley Nsoki,Centre-Back,22,,France,Ligue 1,OGC Nice,Belgium,Others,Club Brugge KV,6000000,2021,Defense
2342,Kelvin Yeboah,Centre-Forward,21,,Austria,Bundesliga,SK Sturm Graz,Italy,Serie A,Genoa CFC,6000000,2021,Attack
2343,Éderson,Central Midfield,22,,Brazil,Others,Sport Club Corinthians Paulista,Italy,Serie A,US Salernitana 1919,6000000,2021,Midfield
2344,Kevin Lasagna,Centre-Forward,28,,Italy,Serie A,Udinese Calcio,Italy,Serie A,Hellas Verona,6000000,2021,Attack
2345,Andreas Skov Olsen,Right Midfield,22,,Italy,Serie A,Bologna FC 1909,Belgium,Others,Club Brugge KV,6000000,2021,Midfield
2346,Fodé Ballo-Touré,Left-Back,24,,Monaco,Ligue 1,AS Monaco,Italy,Serie A,AC Milan,5000000,2021,Defense
2347,Victor Moses,Right Midfield,30,,England,Premier League,Chelsea FC,Russia,Others,Spartak Moscow,5000000,2021,Midfield
2348,Wendell,Left-Back,28,,Germany,Bundesliga,Bayer 04 Leverkusen,Portugal,Others,FC Porto,4000000,2021,Defense
2349,Mario Vuskovic,Centre-Back,19,,Croatia,Others,HNK Hajduk Split,Germany,Others,Hamburger SV,1000000,2021,Defense
2350,Erling Haaland,Centre-Forward,21,150000000,Germany,Bundesliga,Borussia Dortmund,England,Premier League,Manchester City,60000000,2022,Attack
2351,Enzo Fernández,Central Midfield,22,55000000,Portugal,Others,SL Benfica,England,Premier League,Chelsea FC,121000000,2022,Midfield
2352,Antony,Right Winger,22,35000000,Netherlands,Others,Ajax Amsterdam,England,Premier League,Manchester United,95000000,2022,Attack
2353,Wesley Fofana,Centre-Back,21,40000000,England,Premier League,Leicester City,England,Premier League,Chelsea FC,80000000,2022,Defense
2354,Aurélien Tchouaméni,Defensive Midfield,22,60000000,Monaco,Ligue 1,AS Monaco,Spain,LaLiga,Real Madrid,80000000,2022,Midfield
2355,Casemiro,Defensive Midfield,30,40000000,Spain,LaLiga,Real Madrid,England,Premier League,Manchester United,70000000,2022,Midfield
2356,Alexander Isak,Centre-Forward,22,30000000,Spain,LaLiga,Real Sociedad,England,Premier League,Newcastle United,70000000,2022,Attack
2357,Mykhaylo Mudryk,Left Winger,22,40000000,Ukraine,Others,Shakhtar Donetsk,England,Premier League,Chelsea FC,70000000,2022,Attack
2358,Matthijs de Ligt,Centre-Back,22,70000000,Italy,Serie A,Juventus FC,Germany,Bundesliga,Bayern Munich,67000000,2022,Defense
2359,Raheem Sterling,Left Winger,27,70000000,England,Premier League,Manchester City,England,Premier League,Chelsea FC,56000000,2022,Attack
2360,Sadio Mané,Left Winger,30,70000000,England,Premier League,Liverpool FC,Germany,Bundesliga,Bayern Munich,32000000,2022,Attack
2361,Romelu Lukaku,Centre-Forward,29,70000000,England,Premier League,Chelsea FC,Italy,Serie A,Inter Milan,7000000,2022,Attack
2362,João Cancelo,Right-Back,28,70000000,England,Premier League,Manchester City,Germany,Bundesliga,Bayern Munich,0,2022,Defense
2363,Marc Cucurella,Left-Back,24,28000000,England,Premier League,Brighton & Hove Albion,England,Premier League,Chelsea FC,65000000,2022,Defense
2364,Federico Chiesa,Left Winger,24,65000000,Italy,Serie A,ACF Fiorentina,Italy,Serie A,Juventus FC,42000000,2022,Attack
2365,Jules Koundé,Centre-Back,23,60000000,Spain,LaLiga,Sevilla FC,Spain,LaLiga,FC Barcelona,50000000,2022,Defense
2366,Cody Gakpo,Left Winger,23,60000000,Netherlands,Others,PSV Eindhoven,England,Premier League,Liverpool FC,42000000,2022,Attack
2367,Richarlison,Centre-Forward,25,48000000,England,Premier League,Everton FC,England,Premier League,Tottenham Hotspur,58000000,2022,Attack
2368,Raphinha,Right Winger,25,45000000,England,Premier League,Leeds United,Spain,LaLiga,FC Barcelona,58000000,2022,Attack
2369,Lisandro Martínez,Centre-Back,24,32000000,Netherlands,Others,Ajax Amsterdam,England,Premier League,Manchester United,57000000,2022,Defense
2370,Darwin Núñez,Centre-Forward,23,55000000,Portugal,Others,SL Benfica,England,Premier League,Liverpool FC,80000000,2022,Attack
2371,Fabián Ruiz,Central Midfield,26,55000000,Italy,Serie A,SSC Napoli,France,Ligue 1,Paris Saint-Germain,23000000,2022,Midfield
2372,Gabriel Jesus,Centre-Forward,25,50000000,England,Premier League,Manchester City,England,Premier League,Arsenal FC,52000000,2022,Attack
2373,Cristian Romero,Centre-Back,24,48000000,Italy,Serie A,Atalanta BC,England,Premier League,Tottenham Hotspur,50000000,2022,Defense
2374,Kalvin Phillips,Defensive Midfield,26,50000000,England,Premier League,Leeds United,England,Premier League,Manchester City,49000000,2022,Midfield
2375,Carlos Soler,Central Midfield,25,50000000,Spain,LaLiga,Valencia CF,France,Ligue 1,Paris Saint-Germain,18000000,2022,Midfield
2376,João Félix,Second Striker,23,50000000,Spain,LaLiga,Atlético de Madrid,England,Premier League,Chelsea FC,11000000,2022,Attack
2377,Paul Pogba,Central Midfield,29,48000000,England,Premier League,Manchester United,Italy,Serie A,Juventus FC,0,2022,Midfield
2378,Anthony Gordon,Left Winger,21,40000000,England,Premier League,Everton FC,England,Premier League,Newcastle United,45000000,2022,Attack
2379,Robert Lewandowski,Centre-Forward,33,45000000,Germany,Bundesliga,Bayern Munich,Spain,LaLiga,FC Barcelona,45000000,2022,Attack
2380,Matheus Nunes,Central Midfield,23,35000000,Portugal,Others,Sporting CP,England,Premier League,Wolverhampton Wanderers,45000000,2022,Midfield
2381,Franck Kessié,Central Midfield,25,45000000,Italy,Serie A,AC Milan,Spain,LaLiga,FC Barcelona,0,2022,Midfield
2382,Enzo Fernández,Central Midfield,21,15000000,Argentina,Others,CA River Plate,Portugal,Others,SL Benfica,44000000,2022,Midfield
2383,Lucas Paquetá,Attacking Midfield,25,35000000,France,Ligue 1,Olympique Lyon,England,Premier League,West Ham United,42000000,2022,Midfield
2384,Amine Gouiri,Centre-Forward,22,42000000,France,Ligue 1,OGC Nice,France,Ligue 1,Stade Rennais FC,28000000,2022,Attack
2385,Vitinha,Central Midfield,22,30000000,Portugal,Others,FC Porto,France,Ligue 1,Paris Saint-Germain,41000000,2022,Midfield
2386,Bremer,Centre-Back,25,35000000,Italy,Serie A,Torino FC,Italy,Serie A,Juventus FC,41000000,2022,Defense
2387,Nuno Mendes,Left-Back,20,40000000,Portugal,Others,Sporting CP,France,Ligue 1,Paris Saint-Germain,38000000,2022,Defense
